,Position,first_name,second_name,team,player_id
0,2,Laurent,Koscielny,1,3
1,2,Per,Mertesacker,1,4
2,2,Gabriel Armando,de Abreu,1,5
3,2,Héctor,Bellerín,1,6
4,2,Kieran,Gibbs,1,7
5,2,Mathieu,Debuchy,1,8
6,2,Carl,Jenkinson,1,9
7,2,Nacho,Monreal,1,10
8,2,Calum,Chambers,12,11
9,2,Simon,Francis,2,31
10,2,Steve,Cook,2,32
11,2,Charlie,Daniels,2,33
12,2,Adam,Smith,2,34
13,2,Tyrone,Mings,2,35
14,2,Nathan,Aké,4,36
15,2,Matthew,Lowton,3,55
16,2,Ben,Mee,3,56
17,2,Stephen,Ward,3,57
18,2,Michael,Keane,3,58
19,2,James,Tarkowski,3,59
20,2,Tendayi,Darikwa,3,60
21,2,John,Terry,4,75
22,2,Branislav,Ivanovic,4,76
23,2,César,Azpilicueta,4,77
24,2,Gary,Cahill,4,78
25,2,Kurt,Zouma,4,79
26,2,Abdul Rahman,Baba,4,80
27,2,Matt,Miazga,4,81
28,2,James,Tomkins,5,103
29,2,Scott,Dann,5,104
30,2,Joel,Ward,5,105
31,2,Martin,Kelly,5,106
32,2,Damien,Delaney,5,107
33,2,Pape,Souaré,5,108
34,2,Leighton,Baines,6,125
35,2,Seamus,Coleman,6,126
36,2,Phil,Jagielka,6,127
37,2,John,Stones,10,128
38,2,Brendan,Galloway,6,129
39,2,Tyias,Browning,6,130
40,2,Matthew,Pennington,6,131
41,2,Ramiro,Funes Mori,6,132
42,2,Brian,Lenihan,7,148
43,2,Curtis,Davies,7,149
44,2,Michael,Dawson,7,150
45,2,Moses,Odubajo,7,151
46,2,Andrew,Robertson,7,152
47,2,Harry,Maguire,7,153
48,2,Alex,Bruce,7,154
49,2,Wes,Morgan,8,167
50,2,Christian,Fuchs,8,168
51,2,Jeffrey,Schlupp,5,169
52,2,Marcin,Wasilewski,8,170
53,2,Ritchie,de Laet,8,171
54,2,Danny,Simpson,8,172
55,2,Robert,Huth,8,173
56,2,Yohan,Benalouane,8,174
57,2,Luis,Hernández,8,175
58,2,Mamadou,Sakho,5,190
59,2,Dejan,Lovren,9,191
60,2,Alberto,Moreno,9,192
61,2,Nathaniel,Clyne,9,193
62,2,Jon,Flanagan,3,194
63,2,Joseph,Gomez,9,195
64,2,Connor,Randall,9,196
65,2,Bradley,Smith,2,197
66,2,Kevin,Stewart,9,198
67,2,Joel,Matip,9,199
68,2,Aleksandar,Kolarov,10,220
69,2,Pablo,Zabaleta,10,221
70,2,Vincent,Kompany,10,222
71,2,Gaël,Clichy,10,223
72,2,Bacary,Sagna,10,224
73,2,Eliaquim,Mangala,10,225
74,2,Nicolás,Otamendi,10,226
75,2,Chris,Smalling,11,244
76,2,Phil,Jones,11,245
77,2,Guillermo,Varela,11,246
78,2,Luke,Shaw,11,247
79,2,Marcos,Rojo,11,248
80,2,Patrick,McNair,15,249
81,2,Antonio,Valencia,11,250
82,2,Matteo,Darmian,11,251
83,2,Cameron,Borthwick-Jackson,11,252
84,2,Timothy,Fosu-Mensah,11,253
85,2,Daley,Blind,11,254
86,2,Eric,Bailly,11,255
87,2,Daniel,Ayala,12,275
88,2,George,Friend,12,276
89,2,Dael,Fry,12,277
90,2,Ben,Gibson,12,278
91,2,Emilio,Nsue Lopez,12,279
92,2,Bernardo,Espinosa Zúñiga,12,280
93,2,Ryan,Bertrand,13,296
94,2,Jose,Fonte,20,297
95,2,Maya,Yoshida,13,298
96,2,Matt,Targett,13,299
97,2,Florin,Gardos,13,300
98,2,Cédric,Soares,13,301
99,2,Cuco,Martina,13,302
100,2,Virgil,van Dijk,13,303
101,2,Ryan,Shawcross,14,318
102,2,Marc,Wilson,19,319
103,2,Geoff,Cameron,14,320
104,2,Erik,Pieters,14,321
105,2,Marc,Muniesa,14,322
106,2,Phil,Bardsley,14,323
107,2,Philipp,Wollscheid,14,324
108,2,Glen,Johnson,14,325
109,2,Dionatan do Nascimento,Teixeira,14,326
110,2,Younes,Kaboul,18,341
111,2,John,O'Shea,15,342
112,2,Billy,Jones,15,343
113,2,Patrick,van Aanholt,5,344
114,2,Adam,Matthews,15,345
115,2,Lamine,Koné,15,346
116,2,Kyle,Naughton,16,358
117,2,Ashley,Williams,6,359
118,2,Neil,Taylor,16,360
119,2,Angel,Rangel,16,361
120,2,Jordi,Amat,16,362
121,2,Federico,Fernández,16,363
122,2,Franck,Tabanou,16,364
123,2,Stephen,Kingsley,16,365
124,2,Mike,van der Hoorn,16,366
125,2,Toby,Alderweireld,17,382
126,2,Danny,Rose,17,383
127,2,Kyle,Walker,17,384
128,2,Jan,Vertonghen,17,385
129,2,Ben,Davies,17,386
130,2,Kieran,Trippier,17,387
131,2,Kevin,Wimmer,17,388
132,2,DeAndre,Yedlin,17,389
133,2,Craig,Cathcart,18,408
134,2,Sebastian,Prödl,18,409
135,2,Juan Carlos,Paredes,18,410
136,2,José,Holebas,18,411
137,2,Allan-Roméo,Nyom,19,412
138,2,Miguel,Britos,18,413
139,2,Christian,Kabasele,18,414
140,2,Jonny,Evans,19,431
141,2,Jonas,Olsson,19,432
142,2,Craig,Dawson,19,433
143,2,Sébastien,Pocognoli,19,434
144,2,Cristian,Gamboa,19,435
145,2,Gareth,McAuley,19,436
146,2,James,Chester,19,437
147,2,Chris,Brunt,19,438
148,2,James,Collins,20,452
149,2,Winston,Reid,20,453
150,2,Aaron,Cresswell,20,454
151,2,Reece,Oxford,20,455
152,2,Angelo,Ogbonna,20,456
153,2,Sam,Byram,20,457
154,2,Ragnar,Klavan,9,474
155,2,Jason,Denayer,15,476
156,2,Antonio,Barragán,12,477
157,2,Juan,Zuñiga,18,479
158,2,Tommie,Hoban,18,480
159,2,Brice,Dja Djédjé,18,481
160,2,Rob,Holding,1,484
161,2,Ola,Aina,4,487
162,2,Jérémy,Pied,13,492
163,2,Mason,Holgate,6,495
164,2,Benjamin,Chilwell,8,496
165,2,Jose Angel,Esmoris Tasende,10,498
166,2,Papy,Djilobodji,15,499
167,2,Cameron,Carter-Vickers,17,501
168,2,Daniel,Lafferty,3,502
169,2,Jack,Stephens,13,504
170,2,Arthur,Masuaku,20,505
171,2,Donald,Love,15,506
172,2,Kane,Wilson,19,510
173,2,Josh,Clackstone,7,515
174,2,Josh,Tymon,7,519
175,2,Alex,Baptiste,12,522
176,2,Fabio Pereira,da Silva,12,527
177,2,Pablo,Maffeo,10,528
178,2,Josh,Robson,15,532
179,2,Reece,Burke,20,534
180,2,Thomas,Robson,15,537
181,2,Javier,Manquillo,15,538
182,2,Daryl,Janmaat,18,540
183,2,Shkodran,Mustafi,1,555
184,2,Adrian,Mariappa,18,556
185,2,Alfie,Mawson,16,558
186,2,Marcos,Alonso,4,561
187,2,Bruno,Martins Indi,14,562
188,2,Álvaro,Arbeloa,20,568
189,2,David,Luiz Moreira Marinho,4,570
190,2,Ezekiel,Fryers,5,580
191,2,Ben,Wynter,5,585
192,2,Kevin,Long,3,594
193,2,Andrew,Eleftheriou,18,605
194,2,Oluwatosin,Adarabioyo,10,607
195,2,Alex,Pike,20,608
196,2,Jonjoe,Kenny,6,616
197,2,Charlie,Rowan,18,619
198,2,Brandon,Mason,18,621
199,2,Michael,Ledger,15,624
200,2,Joel,Taylor,14,631
201,2,Martin,Olsson,16,633
202,2,Omar,Elabdellaoui,7,634
203,2,Joleon,Lescott,15,635
204,2,Andrea,Ranocchia,7,638
205,2,Molla,Wagué,8,645
206,2,Thomas,Edwards,14,648
207,2,Baily,Cargill,2,649
208,2,Martín,Cáceres,13,652
209,2,Connor,Roberts,16,654
210,2,Axel,Tuanzebe,11,656
211,2,James,Husband,12,661
212,2,Demetri,Mitchell,11,669
213,2,Elliott,Moore,8,670
