,Position,first_name,second_name,team,player_id
0,4,Olivier,Giroud,1,25
1,4,Danny,Welbeck,1,26
2,4,Yaya,Sanogo,1,27
3,4,Takuma,Asano,1,28
4,4,Callum,Wilson,2,49
5,4,Tokelo,Rantie,2,50
6,4,Lewis,Grabban,2,51
7,4,Benik,Afobe,2,52
8,4,Lys,Mousset,2,53
9,4,Sam,Vokes,3,67
10,4,Andre,Gray,3,68
11,4,Lukas,Jutkiewicz,3,69
12,4,Ashley,Barnes,3,70
13,4,Rouwen,Hennings,3,71
14,4,Chris,Long,3,72
15,4,Michy,Batshuayi,4,96
16,4,Diego,Da Silva Costa,4,97
17,4,Loïc,Remy,5,98
18,4,Fraizer,Campbell,5,121
19,4,Connor,Wickham,5,122
20,4,Romelu,Lukaku,6,143
21,4,Arouna,Koné,6,144
22,4,Oumar,Niasse,7,145
23,4,Abel,Hernández,7,163
24,4,Adama,Diomande,7,164
25,4,Jamie,Vardy,8,184
26,4,Leonardo,Ulloa,8,185
27,4,Shinji,Okazaki,8,186
28,4,Ahmed,Musa,8,187
29,4,Christian,Benteke,5,213
30,4,Daniel,Sturridge,9,214
31,4,Mario,Balotelli,9,215
32,4,Danny,Ings,9,216
33,4,Divock,Origi,9,217
34,4,Sergio,Agüero,10,239
35,4,Wilfried,Bony,14,240
36,4,Kelechi,Iheanacho,10,241
37,4,Wayne,Rooney,11,269
38,4,James,Wilson,11,270
39,4,Marcus,Rashford,11,271
40,4,Zlatan,Ibrahimovic,11,272
41,4,David,Nugent,12,291
42,4,Jordan,Rhodes,12,292
43,4,Cristhian,Stuani,12,293
44,4,Shane,Long,13,313
45,4,Charlie,Austin,13,314
46,4,Peter,Crouch,14,336
47,4,Mame Biram,Diouf,14,337
48,4,Jose Luis,Mato Sanmartín,14,338
49,4,Fabio,Borini,15,354
50,4,Jermain,Defoe,15,355
51,4,Bafétimbi,Gomis,16,377
52,4,Marvin,Emnes,16,378
53,4,Modou,Barrow,16,379
54,4,Harry,Kane,17,403
55,4,Clinton,N'Jie,17,404
56,4,Vincent,Janssen,17,405
57,4,Troy,Deeney,18,425
58,4,Odion,Ighalo,18,426
59,4,Mamadou Obbi,Oularé,18,427
60,4,Jerome,Sinclair,18,428
61,4,Rickie,Lambert,19,447
62,4,Saido,Berahino,14,448
63,4,Salomón,Rondón,19,449
64,4,Andy,Carroll,20,468
65,4,Enner,Valencia,6,469
66,4,Diafra,Sakho,20,470
67,4,Álvaro,Negredo,12,478
68,4,Matej,Vydra,18,483
69,4,Chuba,Akpom,1,493
70,4,Fernando,Llorente,16,500
71,4,Borja,Bastón,16,507
72,4,Olayinka Fredrick Oladotun,Ladapo,5,508
73,4,Keshi,Anderson,5,509
74,4,Jarrod,Bowen,7,516
75,4,Greg,Luer,7,518
76,4,Jonathan,Calleri,20,526
77,4,Ashley,Fletcher,20,535
78,4,Julien,Ngoy,14,544
79,4,Ben,Hinchcliffe,7,545
80,4,Oliver,McBurnie,16,546
81,4,Lucas,Pérez,1,549
82,4,Simone,Zaza,20,550
83,4,Stefano,Okaka,18,552
84,4,Patrick,Bamford,12,553
85,4,Will,Keane,7,557
86,4,Islam,Slimani,8,567
87,4,Dieumerci,Mbokani,7,569
88,4,Hal,Robson-Kanu,19,571
89,4,Victor,Anichebe,15,575
90,4,Jonathan,Benteke,5,579
91,4,Dominic,Solanke,4,590
92,4,Dominic,Calvert-Lewin,6,595
93,4,Josh,Maja,15,613
94,4,Michael,Folivi,18,620
95,4,Gabriel Fernando,de Jesus,10,625
96,4,Rudy,Gestede,12,629
97,4,Mauro,Zárate,18,636
98,4,M'Baye,Niang,18,637
99,4,Jordan,Ayew,16,642
100,4,Manolo,Gabbiadini,13,643
101,4,Daniel,Agyei,3,651
102,4,Rhian,Brewster,9,666
103,4,Sam,Surridge,2,679
