,Position,first_name,second_name,team,player_id
0,1,David,Ospina,1,1
1,1,Petr,Cech,1,2
2,1,Artur,Boruc,2,29
3,1,Adam,Federici,2,30
4,1,Tom,Heaton,3,54
5,1,Thibaut,Courtois,4,73
6,1,Asmir,Begovic,4,74
7,1,Julian,Speroni,5,99
8,1,Wayne,Hennessey,5,100
9,1,Alex,McCarthy,13,101
10,1,Steve,Mandanda,5,102
11,1,Joel,Robles,6,123
12,1,Maarten,Stekelenburg,6,124
13,1,Allan,McGregor,7,146
14,1,Eldin,Jakupovic,7,147
15,1,Kasper,Schmeichel,8,165
16,1,Ron-Robert,Zieler,8,166
17,1,Simon,Mignolet,9,188
18,1,Loris,Karius,9,189
19,1,Joe,Hart,10,218
20,1,Willy,Caballero,10,219
21,1,David,de Gea,11,242
22,1,Sergio,Romero,11,243
23,1,Dimitrios,Konstantopoulos,12,273
24,1,Víctor,Valdés,12,274
25,1,Fraser,Forster,13,294
26,1,Paulo,Gazzaniga,13,295
27,1,Shay,Given,14,315
28,1,Jack,Butland,14,316
29,1,Jakob,Haugaard,14,317
30,1,Vito,Mannone,15,339
31,1,Jordan,Pickford,15,340
32,1,Lukasz,Fabianski,16,356
33,1,Kristoffer,Nordfeldt,16,357
34,1,Hugo,Lloris,17,380
35,1,Michel,Vorm,17,381
36,1,Costel,Pantilimon,18,406
37,1,Heurelho,Gomes,18,407
38,1,Boaz,Myhill,19,429
39,1,Ben,Foster,19,430
40,1,Adrián,San Miguel del Castillo,20,450
41,1,Darren,Randolph,20,451
42,1,Nick,Pope,3,471
43,1,Paul,Robinson,3,472
44,1,Bradley,Guzan,12,490
45,1,Dusan,Kuciak,7,517
46,1,Alexander,Manninger,9,524
47,1,Luke,McGee,17,529
48,1,Claudio,Bravo,10,541
49,1,Maksymilian,Stryjek,15,547
50,1,Jack,Rose,19,548
51,1,David,Marshall,7,554
52,1,Pau,López Sabata,17,564
53,1,Lee,Grant,14,574
54,1,Michael,Simões Domingues,15,577
55,1,Ben,Hamer,8,583
56,1,Raphael,Spiegel,20,591
57,1,Mateusz,Hewelt,6,596
58,1,Stuart,Taylor,13,597
59,1,Ryan,Allsop,2,600
60,1,Alex,Palmer,19,601
61,1,Harry,Lewis,13,623
62,1,Giedrius,Arlauskis,18,639
63,1,Mouez,Hassen,13,650
64,1,Damian Emiliano,Martinez,1,657
65,1,Matt,Macey,1,660
66,1,Joel Dinis,Castro Pereira,11,662
67,1,Eduardo,Dos Reis Carvalho,4,663
68,1,Angus,Gunn,10,668
69,1,Aaron,Ramsdale,2,677
70,1,Kieran,O'Hara,11,681
71,1,Gerhard,Tremmel,16,682
72,1,Rene,Gilmartin,18,683
