,Position,first_name,second_name,team,player_id
0,3,Alexis,Sánchez,1,12
1,3,Theo,Walcott,1,13
2,3,Mesut,Özil,1,14
3,3,Santiago,Cazorla,1,15
4,3,Aaron,Ramsey,1,16
5,3,Jack,Wilshere,2,17
6,3,Alex,Oxlade-Chamberlain,1,18
7,3,Serge,Gnabry,1,19
8,3,Francis,Coquelin,1,20
9,3,Alex,Iwobi,1,21
10,3,Mohamed,Elneny,1,22
11,3,Joel,Campbell,1,23
12,3,Granit,Xhaka,1,24
13,3,Harry,Arter,2,37
14,3,Marc,Pugh,2,38
15,3,Andrew,Surman,2,39
16,3,Eunan,O'Kane,2,40
17,3,Shaun,MacDonald,2,41
18,3,Junior,Stanislas,2,42
19,3,Dan,Gosling,2,43
20,3,Max,Gradel,2,44
21,3,Emerson,Hyndman,2,45
22,3,Jordon,Ibe,2,46
23,3,Lewis,Cook,2,47
24,3,Joshua,King,2,48
25,3,David,Jones,3,61
26,3,George,Boyd,3,62
27,3,Scott,Arfield,3,63
28,3,Dean,Marney,3,64
29,3,Fredrik,Ulvestad,3,65
30,3,Michael,Kightly,3,66
31,3,Eden,Hazard,4,82
32,3,Cesc,Fàbregas,4,83
33,3,Oscar,dos Santos Emboaba Junior,4,84
34,3,Juan,Cuadrado,4,85
35,3,Willian,Borges Da Silva,4,86
36,3,Nemanja,Matic,4,87
37,3,Ruben,Loftus-Cheek,4,88
38,3,John Obi,Mikel,4,89
39,3,Pedro,Rodríguez Ledesma,4,90
40,3,Bertrand,Traore,4,91
41,3,Victor,Moses,4,92
42,3,Marco,Van Ginkel,4,93
43,3,Robert Kenedy,Nunes do Nascimento,4,94
44,3,N'Golo,Kanté,4,95
45,3,Yannick,Bolasie,6,109
46,3,Jason,Puncheon,5,110
47,3,Wilfried,Zaha,5,111
48,3,Mile,Jedinak,5,112
49,3,Joe,Ledley,5,113
50,3,James,McArthur,5,114
51,3,Jordon,Mutch,5,115
52,3,Jonathan,Williams,5,116
53,3,Chung-yong,Lee,5,117
54,3,Yohan,Cabaye,5,118
55,3,Bakary,Sako,5,119
56,3,Andros,Townsend,5,120
57,3,Kevin,Mirallas,6,133
58,3,Ross,Barkley,6,134
59,3,Tom,Cleverley,18,135
60,3,James,McCarthy,6,136
61,3,Gareth,Barry,6,137
62,3,Darron,Gibson,15,138
63,3,Muhamed,Besic,6,139
64,3,Bryan,Oviedo,15,140
65,3,Gerard,Deulofeu,6,141
66,3,Aaron,Lennon,6,142
67,3,Robert,Snodgrass,20,155
68,3,Sam,Clucas,7,156
69,3,Jake,Livermore,19,157
70,3,Ahmed,Elmohamady,7,158
71,3,Mohamed,Diamé,7,159
72,3,Tom,Huddlestone,7,160
73,3,David,Meyler,7,161
74,3,Shaun,Maloney,7,162
75,3,Riyad,Mahrez,8,176
76,3,Marc,Albrighton,8,177
77,3,Andy,King,8,178
78,3,Daniel,Drinkwater,8,179
79,3,Gökhan,Inler,8,180
80,3,Demarai,Gray,8,181
81,3,Daniel,Amartey,8,182
82,3,Nampalys,Mendy,8,183
83,3,Leiva,Lucas,9,200
84,3,Jordan,Henderson,9,201
85,3,Joe,Allen,14,202
