,Position,first_name,second_name,team,player_id
0,2,Laurent,Koscielny,1,4
1,2,Per,Mertesacker,1,5
2,2,Gabriel Armando,de Abreu,1,6
3,2,Héctor,Bellerín,1,7
4,2,Carl,Jenkinson,1,9
5,2,Nacho,Monreal,1,10
6,2,Rob,Holding,1,11
7,2,Shkodran,Mustafi,1,12
8,2,Sead,Kolasinac,1,13
9,2,Calum,Chambers,1,480
10,2,Mathieu,Debuchy,1,564
11,2,Konstantinos,Mavropanos,1,595
12,2,Jordi,Osei-Tutu,1,644
13,2,Simon,Francis,2,32
14,2,Steve,Cook,2,33
15,2,Charlie,Daniels,2,34
16,2,Adam,Smith,2,35
17,2,Tyrone,Mings,2,36
18,2,Bradley,Smith,2,37
19,2,Nathan,Aké,2,38
20,2,Jack,Simpson,2,570
21,2,Lewis,Dunk,3,55
22,2,Shane,Duffy,3,56
23,2,Uwe,Hünemeier,3,57
24,2,Bruno,Saltor Grau,3,58
25,2,Gaëtan,Bong,3,59
26,2,Liam,Rosenior,3,60
27,2,Connor,Goldson,3,61
28,2,Markus,Suttner,3,461
29,2,Ezequiel,Schelotto,3,538
30,2,Matthew,Lowton,4,76
31,2,Ben,Mee,4,77
32,2,Stephen,Ward,4,78
33,2,James,Tarkowski,4,79
34,2,Kevin,Long,4,80
35,2,Charlie,Taylor,4,81
36,2,Phil,Bardsley,4,334
37,2,César,Azpilicueta,5,97
38,2,Gary,Cahill,5,98
39,2,Marcos,Alonso,5,100
40,2,David,Luiz Moreira Marinho,5,101
41,2,Victor,Moses,5,102
42,2,Antonio,Rüdiger,5,103
43,2,Andreas,Christensen,5,470
44,2,Fikayo,Tomori,5,503
45,2,Davide,Zappacosta,5,543
46,2,Dujon,Sterling,5,600
47,2,Emerson,Palmieri dos Santos,5,614
48,2,Trevoh,Chalobah,5,632
49,2,James,Tomkins,6,117
50,2,Scott,Dann,6,118
51,2,Joel,Ward,6,119
52,2,Martin,Kelly,6,120
53,2,Damien,Delaney,6,121
54,2,Pape,Souaré,6,122
55,2,Jeffrey,Schlupp,6,123
56,2,Patrick,van Aanholt,6,124
57,2,Mamadou,Sakho,6,221
