,Position,first_name,second_name,team,player_id
0,4,Danny,Welbeck,1,26
1,4,Lucas,Pérez,1,27
2,4,Alexandre,Lacazette,1,28
3,4,Edward,Nketiah,1,560
4,4,Pierre-Emerick,Aubameyang,1,616
5,4,Callum,Wilson,2,48
6,4,Benik,Afobe,2,49
7,4,Lys,Mousset,2,50
8,4,Joshua,King,2,51
9,4,Jermain,Defoe,2,52
10,4,Glenn,Murray,3,71
11,4,Tomer,Hemed,3,72
12,4,Sam,Baldock,3,73
13,4,Leonardo,Ulloa,3,210
14,4,Jürgen,Locadia,3,604
15,4,Sam,Vokes,4,91
16,4,Ashley,Barnes,4,93
17,4,Nahki,Wells,4,185
18,4,Chris,Wood,4,518
19,4,Dwight,McNeil,4,646
20,4,Olivier,Giroud,5,25
21,4,Michy,Batshuayi,5,113
22,4,Diego,Da Silva Costa,5,114
23,4,Álvaro,Morata,5,472
24,4,Connor,Wickham,6,133
25,4,Christian,Benteke,6,134
26,4,Olayinka Fredrick Oladotun,Ladapo,6,505
27,4,Keshi,Anderson,6,528
28,4,Alexander,Sørloth,6,620
29,4,James,Daly,6,638
30,4,Dominic,Calvert-Lewin,7,159
31,4,Sandro,Ramírez,7,160
32,4,Wayne,Rooney,7,161
33,4,Oumar,Niasse,7,548
34,4,Cenk,Tosun,7,592
35,4,Collin,Quaner,8,186
36,4,Laurent,Depoitre,8,187
37,4,Steve,Mounie,8,188
38,4,Jamie,Vardy,9,209
39,4,Shinji,Okazaki,9,211
40,4,Kelechi,Iheanacho,9,258
41,4,Fousseni,Diabaté,9,601
42,4,Roberto,Firmino,10,235
43,4,Danny,Ings,10,237
44,4,Divock,Origi,10,238
45,4,Dominic,Solanke,10,239
46,4,Sergio,Agüero,11,257
47,4,Gabriel Fernando,de Jesus,11,259
48,4,Lukas,Nmecha,11,627
49,4,Marcus,Rashford,12,284
50,4,Romelu,Lukaku,12,285
51,4,Zlatan,Ibrahimovic,12,523
52,4,Islam,Slimani,13,212
53,4,Dwight,Gayle,13,301
54,4,Ayoze,Pérez,13,302
55,4,Aleksandar,Mitrovic,13,303
56,4,Daryl,Murphy,13,304
57,4,Jose Luis,Mato Sanmartín,13,488
58,4,Shane,Long,14,325
59,4,Charlie,Austin,14,326
60,4,Manolo,Gabbiadini,14,327
61,4,Michael,Obafemi,14,603
62,4,Guido,Carrillo,14,607
63,4,Peter,Crouch,15,347
64,4,Mame Biram,Diouf,15,348
65,4,Saido,Berahino,15,349
66,4,Julien,Ngoy,15,562
67,4,Tyrese,Campbell,15,628
68,4,Oliver,McBurnie,16,372
69,4,Jordan,Ayew,16,373
70,4,Tammy,Abraham,16,374
71,4,Wilfried,Bony,16,542
72,4,Fernando,Llorente,17,371
73,4,Harry,Kane,17,394
74,4,Vincent,Janssen,17,395
75,4,Kazaiah,Sterling,17,643
76,4,Andre,Gray,18,92
77,4,Troy,Deeney,18,417
78,4,Stefano,Okaka,18,418
79,4,Mauro,Zárate,18,419
80,4,Jerome,Sinclair,18,499
81,4,Michael,Folivi,18,581
82,4,Daniel,Sturridge,19,236
83,4,Salomón,Rondón,19,435
84,4,Hal,Robson-Kanu,19,436
85,4,Jay,Rodriguez,19,437
86,4,Rayhaan,Tulloch,19,577
87,4,Andy,Carroll,20,457
88,4,Diafra,Sakho,20,458
89,4,Ashley,Fletcher,20,459
90,4,Enner,Valencia,20,460
91,4,Javier,Hernández Balcázar,20,487
92,4,Antonio,Martinez Lopez,20,567
93,4,Jordan,Hugill,20,622
