,Position,first_name,second_name,team,player_id
0,1,David,Ospina,1,1
1,1,Petr,Cech,1,2
2,1,Damian Emiliano,Martinez,1,3
3,1,Matt,Macey,1,559
4,1,Asmir,Begovic,2,29
5,1,Artur,Boruc,2,30
6,1,Adam,Federici,2,31
7,1,Aaron,Ramsdale,2,549
8,1,Niki,Mäenpää,3,53
9,1,Mathew,Ryan,3,54
10,1,Tim,Krul,3,540
11,1,Tom,Heaton,4,74
12,1,Paul,Robinson,4,75
13,1,Nick,Pope,4,469
14,1,Adam,Legzdins,4,545
15,1,Anders,Lindegaard,4,554
16,1,Thibaut,Courtois,5,94
17,1,Eduardo,dos Reis Carvalho,5,95
18,1,Willy,Caballero,5,96
19,1,Wayne,Hennessey,6,115
20,1,Julian,Speroni,6,116
21,1,Dion,Henry,6,555
22,1,Diego,Cavalieri,6,633
23,1,Jordan,Pickford,7,135
24,1,Joel,Robles,7,136
25,1,Maarten,Stekelenburg,7,137
26,1,Joel,Coleman,8,162
27,1,Jonas,Lössl,8,163
28,1,Robert,Green,8,547
29,1,Kasper,Schmeichel,9,189
30,1,Ben,Hamer,9,190
31,1,Eldin,Jakupovic,9,473
32,1,Simon,Mignolet,10,213
33,1,Loris,Karius,10,214
34,1,Danny,Ward,10,530
35,1,Ederson,Santana de Moraes,11,240
36,1,Claudio,Bravo,11,241
37,1,David,De Gea,12,260
38,1,Sergio,Romero,12,261
39,1,Joel Dinis,Castro Pereira,12,262
40,1,Robert,Elliot,13,286
41,1,Karl,Darlow,13,287
42,1,Freddie,Woodman,13,529
43,1,Martin,Dubravka,13,621
44,1,Alex,McCarthy,14,305
45,1,Fraser,Forster,14,306
46,1,Stuart,Taylor,14,506
47,1,Jack,Butland,15,328
48,1,Lee,Grant,15,329
49,1,Jakob,Haugaard,15,569
50,1,Lukasz,Fabianski,16,350
51,1,Kristoffer,Nordfeldt,16,351
52,1,Erwin,Mulder,16,576
53,1,Hugo,Lloris,17,375
54,1,Michel,Vorm,17,376
55,1,Paulo,Gazzaniga,17,565
56,1,Alfie,Whiteman,17,566
57,1,Costel,Pantilimon,18,396
58,1,Heurelho,Gomes,18,397
59,1,Orestis,Karnezis,18,536
60,1,Daniel,Bachmann,18,582
61,1,Boaz,Myhill,19,420
62,1,Ben,Foster,19,421
63,1,Alex,Palmer,19,557
64,1,Adrián,San Miguel del Castillo,20,438
65,1,Darren,Randolph,20,439
66,1,Joe,Hart,20,479
67,1,Nathan,Trott,20,574
