,Position,first_name,second_name,team,player_id
0,3,Mesut,Özil,1,16
1,3,Santiago,Cazorla,1,17
2,3,Aaron,Ramsey,1,18
3,3,Francis,Coquelin,1,20
4,3,Alex,Iwobi,1,21
5,3,Mohamed,Elneny,1,22
6,3,Granit,Xhaka,1,23
7,3,Jack,Wilshere,1,24
8,3,Henrikh,Mkhitaryan,1,281
9,3,Reiss,Nelson,1,489
10,3,Ainsley,Maitland-Niles,1,546
11,3,Joseph,Willock,1,634
12,3,Harry,Arter,2,39
13,3,Marc,Pugh,2,40
14,3,Andrew,Surman,2,41
15,3,Junior,Stanislas,2,42
16,3,Dan,Gosling,2,43
17,3,Max,Gradel,2,44
18,3,Jordon,Ibe,2,45
19,3,Lewis,Cook,2,46
20,3,Ryan,Fraser,2,47
21,3,Emerson,Hyndman,2,584
22,3,Connor,Mahoney,2,585
23,3,Matt,Butcher,2,588
24,3,Kyle,Taylor,2,602
25,3,Anthony,Knockaert,3,62
26,3,Dale,Stephens,3,63
27,3,Beram,Kayal,3,64
28,3,Steve,Sidwell,3,65
29,3,Solomon,March,3,66
30,3,Jiri,Skalak,3,67
31,3,Oliver,Norwood,3,68
32,3,Jamie,Murphy,3,69
33,3,Pascal,Groß,3,70
34,3,Isaiah,Brown,3,481
35,3,Davy,Pröpper,3,490
36,3,José Heriberto,Izquierdo Mena,3,517
37,3,Jayson,Molumby,3,553
38,3,Scott,Arfield,4,82
39,3,Dean,Marney,4,83
40,3,Johann Berg,Gudmundsson,4,84
41,3,Steven,Defour,4,85
42,3,Jeff,Hendrick,4,86
43,3,Robbie,Brady,4,87
44,3,Ashley,Westwood,4,88
45,3,Jonathan,Walters,4,89
46,3,Jack,Cork,4,90
47,3,Aaron,Lennon,4,153
48,3,Georges-Kévin,Nkoudou,4,392
49,3,Fredrik,Ulvestad,4,575
50,3,Aiden,O'Neill,4,623
51,3,Eden,Hazard,5,104
52,3,Cesc,Fàbregas,5,105
53,3,Willian,Borges Da Silva,5,106
54,3,Pedro,Rodríguez Ledesma,5,109
55,3,N'Golo,Kanté,5,111
56,3,Ross,Barkley,5,149
57,3,Kasey,Palmer,5,183
58,3,Daniel,Drinkwater,5,202
59,3,Tiemoué,Bakayoko,5,463
60,3,Charly,Musonda,5,471
61,3,Kyle,Scott,5,504
62,3,Jeremie,Boga,5,509
63,3,Ethan,Ampadu,5,558
64,3,Callum,Hudson-Odoi,5,583
65,3,Ruben,Loftus-Cheek,6,108
66,3,Jason,Puncheon,6,125
67,3,Wilfried,Zaha,6,126
68,3,James,McArthur,6,127
69,3,Chung-yong,Lee,6,128
70,3,Yohan,Cabaye,6,129
71,3,Bakary,Sako,6,130
72,3,Andros,Townsend,6,131
73,3,Luka,Milivojevic,6,132
74,3,Jason,Lokilo,6,491
75,3,Sullay,Kaikai,6,515
76,3,Levi,Lumeka,6,544
77,3,Jordon,Mutch,6,552
78,3,Aaron,Wan-Bissaka,6,579
79,3,Erdal,Rakip,6,606
80,3,Nya,Kirby,6,630
81,3,Theo,Walcott,7,15
82,3,Yannick,Bolasie,7,147
83,3,Kevin,Mirallas,7,148
84,3,James,McCarthy,7,150
85,3,Muhamed,Besic,7,152
86,3,Morgan,Schneiderlin,7,154
87,3,Idrissa,Gueye,7,155
88,3,Tom,Davies,7,156
89,3,Ademola,Lookman,7,157
90,3,Davy,Klaassen,7,158
91,3,Gylfi,Sigurdsson,7,359
92,3,Nikola,Vlasic,7,539
93,3,Beni,Baningime,7,563
94,3,Aaron,Mooy,8,172
95,3,Rajiv,van La Parra,8,173
96,3,Jonathan,Hogg,8,174
97,3,Philip,Billing,8,175
98,3,Joe,Lolley,8,176
99,3,Jack,Payne,8,177
100,3,Dean,Whitehead,8,178
101,3,Harry,Bunn,8,179
102,3,Sean,Scannell,8,180
103,3,Elias,Kachunga,8,181
104,3,Tom,Ince,8,182
105,3,Danny,Williams,8,184
106,3,Abdelhamid,Sabiri,8,522
107,3,Alex,Pritchard,8,593
108,3,Riyad,Mahrez,9,199
109,3,Marc,Albrighton,9,200
110,3,Demarai,Gray,9,203
111,3,Daniel,Amartey,9,204
112,3,Nampalys,Mendy,9,205
113,3,Wilfred,Ndidi,9,206
114,3,Ahmed,Musa,9,207
115,3,Vicente,Iborra,9,208
116,3,Matty,James,9,474
117,3,Hamza,Choudhury,9,571
118,3,George,Thomas,9,587
119,3,Adrien Sebastian,Perruchet Silva,9,589
120,3,Harvey,Barnes,9,642
121,3,Alex,Oxlade-Chamberlain,10,19
122,3,Leiva,Lucas,10,224
123,3,Jordan,Henderson,10,225
124,3,Philippe,Coutinho,10,226
125,3,Emre,Can,10,227
126,3,Adam,Lallana,10,228
127,3,Oluwaseyi,Ojo,10,229
128,3,Sadio,Mané,10,230
129,3,Marko,Grujic,10,231
130,3,Georginio,Wijnaldum,10,232
131,3,Ben,Woodburn,10,233
132,3,Mohamed,Salah,10,234
133,3,Curtis,Jones,10,640
134,3,Rafael,Camacho,10,641
135,3,Fabian,Delph,11,246
136,3,Raheem,Sterling,11,247
137,3,David,Silva,11,248
138,3,Gnegneri Yaya,Touré,11,249
139,3,Fernando,Luiz Rosa,11,250
140,3,Fernando Francisco,Reges,11,251
141,3,Kevin,De Bruyne,11,252
142,3,Ilkay,Gündogan,11,253
143,3,Manuel,Agudo Durán,11,254
144,3,Leroy,Sané,11,255
145,3,Bernardo Mota,Veiga de Carvalho e Silva,11,256
146,3,Phil,Foden,11,492
147,3,Brahim,Diaz,11,493
148,3,Oleksandr,Zinchenko,11,551
149,3,Alexis,Sánchez,12,14
150,3,Nemanja,Matic,12,107
151,3,Juan,Mata,12,274
152,3,Marouane,Fellaini,12,275
153,3,Michael,Carrick,12,276
154,3,Ashley,Young,12,277
155,3,Ander,Herrera,12,278
156,3,Jesse,Lingard,12,279
157,3,Anthony,Martial,12,280
158,3,Paul,Pogba,12,282
159,3,Scott,McTominay,12,283
160,3,Andreas,Pereira,12,476
161,3,Robert Kenedy,Nunes do Nascimento,13,110
162,3,Matt,Ritchie,13,295
163,3,Jonjo,Shelvey,13,296
164,3,Yoan,Gouffran,13,297
165,3,Mohamed,Diamé,13,298
166,3,Jack,Colback,13,299
167,3,Christian,Atsu,13,300
168,3,Siem,de Jong,13,466
169,3,Rolando,Aarons,13,467
170,3,Jacob,Murphy,13,478
171,3,Mikel,Merino,13,495
172,3,Isaac,Hayden,13,496
173,3,Henri,Saivet,13,516
174,3,Steven,Davis,14,316
175,3,James,Ward-Prowse,14,317
176,3,Dusan,Tadic,14,318
177,3,Jordy,Clasie,14,319
178,3,Oriol,Romeu Vidal,14,320
179,3,Pierre-Emile,Højbjerg,14,321
180,3,Sofiane,Boufal,14,322
181,3,Joshua,Sims,14,323
182,3,Nathan,Redmond,14,324
183,3,Mario,Lemina,14,500
184,3,Joe,Allen,15,337
185,3,Charlie,Adam,15,338
186,3,Glenn,Whelan,15,339
187,3,Ibrahim,Afellay,15,341
188,3,Xherdan,Shaqiri,15,342
189,3,Giannelli,Imbula,15,343
190,3,Bojan,Krkic Perez,15,344
191,3,Ramadan,Sobhi,15,345
192,3,Darren,Fletcher,15,346
193,3,Eric Maxim,Choupo-Moting,15,497
194,3,Jesé,Rodríguez Ruiz,15,512
195,3,Stephen,Ireland,15,590
196,3,Papa Alioune,Ndiaye,15,619
197,3,Lasse,Sorenson,15,637
198,3,Andy,King,16,201
199,3,Wayne,Routledge,16,360
200,3,Leon,Britton,16,361
201,3,Jay,Fulton,16,362
202,3,Sung-yueng,Ki,16,363
203,3,Jefferson,Montero,16,364
204,3,Leroy,Fer,16,365
205,3,Nathan,Dyer,16,366
206,3,Tom,Carroll,16,367
207,3,Modou,Barrow,16,368
208,3,Luciano,Narsingh,16,369
209,3,Roque,Mesa,16,370
210,3,André,Ayew,16,449
211,3,Sam,Clucas,16,519
212,3,Renato,Sanches,16,535
213,3,Eric,Dier,17,384
214,3,Mousa,Dembélé,17,385
