,Position,first_name,second_name,team,player_id
0,1,David,Ospina,1,1
1,1,Petr,Cech,1,2
2,1,Damian Emiliano,Martinez,1,3
3,2,Laurent,Koscielny,1,4
4,2,Per,Mertesacker,1,5
5,2,Gabriel Armando,de Abreu,1,6
6,2,Héctor,Bellerín,1,7
7,2,Carl,Jenkinson,1,9
8,2,Nacho,Monreal,1,10
9,2,Rob,Holding,1,11
10,2,Shkodran,Mustafi,1,12
11,2,Sead,Kolasinac,1,13
12,3,Mesut,Özil,1,16
13,3,Santiago,Cazorla,1,17
14,3,Aaron,Ramsey,1,18
15,3,Francis,Coquelin,1,20
16,3,Alex,Iwobi,1,21
17,3,Mohamed,Elneny,1,22
18,3,Granit,Xhaka,1,23
19,3,Jack,Wilshere,1,24
20,4,Danny,Welbeck,1,26
21,4,Lucas,Pérez,1,27
22,4,Alexandre,Lacazette,1,28
23,3,Henrikh,Mkhitaryan,1,281
24,2,Calum,Chambers,1,480
25,3,Reiss,Nelson,1,489
26,3,Ainsley,Maitland-Niles,1,546
27,1,Matt,Macey,1,559
28,4,Edward,Nketiah,1,560
29,2,Mathieu,Debuchy,1,564
30,2,Konstantinos,Mavropanos,1,595
31,4,Pierre-Emerick,Aubameyang,1,616
32,3,Joseph,Willock,1,634
33,2,Jordi,Osei-Tutu,1,644
34,1,Asmir,Begovic,2,29
35,1,Artur,Boruc,2,30
36,1,Adam,Federici,2,31
37,2,Simon,Francis,2,32
38,2,Steve,Cook,2,33
39,2,Charlie,Daniels,2,34
40,2,Adam,Smith,2,35
41,2,Tyrone,Mings,2,36
42,2,Bradley,Smith,2,37
43,2,Nathan,Aké,2,38
44,3,Harry,Arter,2,39
45,3,Marc,Pugh,2,40
46,3,Andrew,Surman,2,41
47,3,Junior,Stanislas,2,42
48,3,Dan,Gosling,2,43
49,3,Max,Gradel,2,44
50,3,Jordon,Ibe,2,45
51,3,Lewis,Cook,2,46
52,3,Ryan,Fraser,2,47
53,4,Callum,Wilson,2,48
54,4,Benik,Afobe,2,49
55,4,Lys,Mousset,2,50
56,4,Joshua,King,2,51
57,4,Jermain,Defoe,2,52
58,1,Aaron,Ramsdale,2,549
59,2,Jack,Simpson,2,570
60,3,Emerson,Hyndman,2,584
61,3,Connor,Mahoney,2,585
62,3,Matt,Butcher,2,588
63,3,Kyle,Taylor,2,602
64,1,Niki,Mäenpää,3,53
65,1,Mathew,Ryan,3,54
66,2,Lewis,Dunk,3,55
67,2,Shane,Duffy,3,56
68,2,Uwe,Hünemeier,3,57
69,2,Bruno,Saltor Grau,3,58
70,2,Gaëtan,Bong,3,59
71,2,Liam,Rosenior,3,60
72,2,Connor,Goldson,3,61
73,3,Anthony,Knockaert,3,62
74,3,Dale,Stephens,3,63
75,3,Beram,Kayal,3,64
76,3,Steve,Sidwell,3,65
77,3,Solomon,March,3,66
78,3,Jiri,Skalak,3,67
79,3,Oliver,Norwood,3,68
80,3,Jamie,Murphy,3,69
81,3,Pascal,Groß,3,70
82,4,Glenn,Murray,3,71
83,4,Tomer,Hemed,3,72
84,4,Sam,Baldock,3,73
85,4,Leonardo,Ulloa,3,210
86,2,Markus,Suttner,3,461
87,3,Isaiah,Brown,3,481
88,3,Davy,Pröpper,3,490
89,3,José Heriberto,Izquierdo Mena,3,517
90,2,Ezequiel,Schelotto,3,538
91,1,Tim,Krul,3,540
92,3,Jayson,Molumby,3,553
93,4,Jürgen,Locadia,3,604
94,1,Tom,Heaton,4,74
95,1,Paul,Robinson,4,75
96,2,Matthew,Lowton,4,76
97,2,Ben,Mee,4,77
98,2,Stephen,Ward,4,78
99,2,James,Tarkowski,4,79
100,2,Kevin,Long,4,80
101,2,Charlie,Taylor,4,81
102,3,Scott,Arfield,4,82
103,3,Dean,Marney,4,83
104,3,Johann Berg,Gudmundsson,4,84
105,3,Steven,Defour,4,85
106,3,Jeff,Hendrick,4,86
107,3,Robbie,Brady,4,87
108,3,Ashley,Westwood,4,88
109,3,Jonathan,Walters,4,89
110,3,Jack,Cork,4,90
111,4,Sam,Vokes,4,91
112,4,Ashley,Barnes,4,93
113,3,Aaron,Lennon,4,153
114,4,Nahki,Wells,4,185
115,2,Phil,Bardsley,4,334
116,3,Georges-Kévin,Nkoudou,4,392
117,1,Nick,Pope,4,469
118,4,Chris,Wood,4,518
119,1,Adam,Legzdins,4,545
120,1,Anders,Lindegaard,4,554
121,3,Fredrik,Ulvestad,4,575
122,3,Aiden,O'Neill,4,623
123,4,Dwight,McNeil,4,646
124,4,Olivier,Giroud,5,25
125,1,Thibaut,Courtois,5,94
126,1,Eduardo,dos Reis Carvalho,5,95
127,1,Willy,Caballero,5,96
128,2,César,Azpilicueta,5,97
129,2,Gary,Cahill,5,98
130,2,Marcos,Alonso,5,100
131,2,David,Luiz Moreira Marinho,5,101
132,2,Victor,Moses,5,102
133,2,Antonio,Rüdiger,5,103
134,3,Eden,Hazard,5,104
135,3,Cesc,Fàbregas,5,105
136,3,Willian,Borges Da Silva,5,106
137,3,Pedro,Rodríguez Ledesma,5,109
138,3,N'Golo,Kanté,5,111
139,4,Michy,Batshuayi,5,113
140,4,Diego,Da Silva Costa,5,114
141,3,Ross,Barkley,5,149
142,3,Kasey,Palmer,5,183
143,3,Daniel,Drinkwater,5,202
144,3,Tiemoué,Bakayoko,5,463
145,2,Andreas,Christensen,5,470
146,3,Charly,Musonda,5,471
147,4,Álvaro,Morata,5,472
148,2,Fikayo,Tomori,5,503
149,3,Kyle,Scott,5,504
150,3,Jeremie,Boga,5,509
151,2,Davide,Zappacosta,5,543
152,3,Ethan,Ampadu,5,558
153,3,Callum,Hudson-Odoi,5,583
154,2,Dujon,Sterling,5,600
155,2,Emerson,Palmieri dos Santos,5,614
156,2,Trevoh,Chalobah,5,632
157,3,Ruben,Loftus-Cheek,6,108
158,1,Wayne,Hennessey,6,115
159,1,Julian,Speroni,6,116
160,2,James,Tomkins,6,117
161,2,Scott,Dann,6,118
162,2,Joel,Ward,6,119
163,2,Martin,Kelly,6,120
164,2,Damien,Delaney,6,121
165,2,Pape,Souaré,6,122
166,2,Jeffrey,Schlupp,6,123
167,2,Patrick,van Aanholt,6,124
168,3,Jason,Puncheon,6,125
169,3,Wilfried,Zaha,6,126
170,3,James,McArthur,6,127
171,3,Chung-yong,Lee,6,128
172,3,Yohan,Cabaye,6,129
173,3,Bakary,Sako,6,130
174,3,Andros,Townsend,6,131
175,3,Luka,Milivojevic,6,132
176,4,Connor,Wickham,6,133
177,4,Christian,Benteke,6,134
178,2,Mamadou,Sakho,6,221
179,2,Timothy,Fosu-Mensah,6,269
180,2,Jairo,Riedewald,6,482
181,3,Jason,Lokilo,6,491
182,4,Olayinka Fredrick Oladotun,Ladapo,6,505
183,3,Sullay,Kaikai,6,515
184,4,Keshi,Anderson,6,528
185,3,Levi,Lumeka,6,544
186,3,Jordon,Mutch,6,552
187,1,Dion,Henry,6,555
188,3,Aaron,Wan-Bissaka,6,579
189,2,Jaroslaw,Jach,6,605
190,3,Erdal,Rakip,6,606
191,4,Alexander,Sørloth,6,620
192,3,Nya,Kirby,6,630
193,1,Diego,Cavalieri,6,633
194,4,James,Daly,6,638
195,3,Theo,Walcott,7,15
196,1,Jordan,Pickford,7,135
197,1,Joel,Robles,7,136
198,1,Maarten,Stekelenburg,7,137
199,2,Leighton,Baines,7,138
200,2,Seamus,Coleman,7,139
201,2,Phil,Jagielka,7,140
202,2,Matthew,Pennington,7,141
203,2,Ramiro,Funes Mori,7,142
204,2,Ashley,Williams,7,143
205,2,Mason,Holgate,7,144
206,2,Jonjoe,Kenny,7,145
207,2,Michael,Keane,7,146
208,3,Yannick,Bolasie,7,147
209,3,Kevin,Mirallas,7,148
210,3,James,McCarthy,7,150
211,3,Muhamed,Besic,7,152
212,3,Morgan,Schneiderlin,7,154
213,3,Idrissa,Gueye,7,155
214,3,Tom,Davies,7,156
215,3,Ademola,Lookman,7,157
216,3,Davy,Klaassen,7,158
217,4,Dominic,Calvert-Lewin,7,159
218,4,Sandro,Ramírez,7,160
219,4,Wayne,Rooney,7,161
220,3,Gylfi,Sigurdsson,7,359
221,2,Cuco,Martina,7,464
222,2,Eliaquim,Mangala,7,502
223,3,Nikola,Vlasic,7,539
224,4,Oumar,Niasse,7,548
225,3,Beni,Baningime,7,563
226,4,Cenk,Tosun,7,592
227,2,Luke,Garbutt,7,629
228,1,Joel,Coleman,8,162
229,1,Jonas,Lössl,8,163
230,2,Christopher,Schindler,8,164
231,2,Chris,Löwe,8,165
232,2,Tommy,Smith,8,166
233,2,Michael,Hefele,8,167
234,2,Martin,Cranie,8,168
235,2,Jon Gorenc,Stankovic,8,169
236,2,Mark,Hudson,8,170
237,2,Mathias,Jorgensen,8,171
238,3,Aaron,Mooy,8,172
239,3,Rajiv,van La Parra,8,173
240,3,Jonathan,Hogg,8,174
241,3,Philip,Billing,8,175
242,3,Joe,Lolley,8,176
243,3,Jack,Payne,8,177
244,3,Dean,Whitehead,8,178
245,3,Harry,Bunn,8,179
246,3,Sean,Scannell,8,180
247,3,Elias,Kachunga,8,181
248,3,Tom,Ince,8,182
249,3,Danny,Williams,8,184
250,4,Collin,Quaner,8,186
251,4,Laurent,Depoitre,8,187
252,4,Steve,Mounie,8,188
253,2,Scott,Malone,8,462
254,2,Florent,Hadergjonaj,8,521
255,3,Abdelhamid,Sabiri,8,522
256,1,Robert,Green,8,547
257,2,Terence,Kongolo,8,591
258,3,Alex,Pritchard,8,593
259,1,Kasper,Schmeichel,9,189
260,1,Ben,Hamer,9,190
