first_name second_name,second_name,id
Petr Cech,Cech,1
Bernd Leno,Leno,2
Laurent Koscielny,Koscielny,3
Héctor Bellerín,Bellerín,4
Nacho Monreal,Monreal,5
Rob Holding,Holding,6
Shkodran Mustafi,Mustafi,7
Sead Kolasinac,Kolasinac,8
Konstantinos Mavropanos,Mavropanos,10
Stephan Lichtsteiner,Lichtsteiner,11
Sokratis Papastathopoulos,Papastathopoulos,12
Mesut Özil,Özil,13
Aaron Ramsey,Ramsey,14
Alex Iwobi,Iwobi,15
Mohamed Elneny,Elneny,16
Granit Xhaka,Xhaka,17
Henrikh Mkhitaryan,Mkhitaryan,18
Reiss Nelson,Nelson,19
Ainsley Maitland-Niles,Maitland-Niles,20
Danny Welbeck,Welbeck,21
Alexandre Lacazette,Lacazette,22
Pierre-Emerick Aubameyang,Aubameyang,23
Lucas Torreira,Torreira,450
Matteo Guendouzi,Guendouzi,451
Emiliano Martínez,Martínez,542
Emile Smith-Rowe,Smith-Rowe,545
Zech Medley,Medley,546
Edward Nketiah,Nketiah,552
Bukayo Saka,Saka,563
Joseph Willock,Willock,566
Carl Jenkinson,Jenkinson,581
Denis Suárez,Suárez,586
Asmir Begovic,Begovic,24
Artur Boruc,Boruc,25
Simon Francis,Francis,26
Steve Cook,Cook,27
Charlie Daniels,Daniels,28
Adam Smith,Smith,29
Tyrone Mings,Mings,30
Nathan Aké,Aké,31
Jack Simpson,Simpson,32
Marc Pugh,Pugh,34
Andrew Surman,Surman,35
Junior Stanislas,Stanislas,36
Dan Gosling,Gosling,37
Jordon Ibe,Ibe,38
Lewis Cook,Cook,39
Ryan Fraser,Fraser,40
Emerson Hyndman,Hyndman,41
David Brooks,Brooks,42
Callum Wilson,Wilson,43
Lys Mousset,Mousset,44
Joshua King,King,45
Jermain Defoe,Defoe,46
Nathaniel Clyne,Clyne,241
Dominic Solanke,Solanke,259
Diego Rico,Rico,473
Jefferson Lerma,Lerma,494
Chris Mepham,Mepham,580
Sam Surridge,Surridge,599
Kyle Taylor,Taylor,600
Nnamdi Ofoborh,Ofoborh,613
Mark Travers,Travers,616
Matt Butcher,Butcher,620
Mathew Ryan,Ryan,47
Lewis Dunk,Dunk,48
Shane Duffy,Duffy,49
Bruno Saltor Grau,Saltor Grau,50
Gaëtan Bong,Bong,51
Markus Suttner,Suttner,52
Ezequiel Schelotto,Schelotto,53
Leon Balogun,Balogun,54
Anthony Knockaert,Knockaert,55
Dale Stephens,Stephens,56
Beram Kayal,Kayal,57
Solomon March,March,58
Pascal Groß,Groß,59
Davy Pröpper,Pröpper,60
José Heriberto Izquierdo Mena,Izquierdo Mena,61
Glenn Murray,Murray,62
Tomer Hemed,Hemed,63
Sam Baldock,Baldock,64
Jürgen Locadia,Locadia,65
Florin Andone,Andone,66
David Button,Button,179
Jason Steele,Steele,439
Bernardo Fernandes da Silva Junior,Fernandes da Silva Junior,440
Yves Bissouma,Bissouma,466
Alireza Jahanbakhsh,Jahanbakhsh,476
Martín Montoya,Montoya,503
Viktor Gyokeres,Gyokeres,551
Ben White,White,559
Max Sanders,Sanders,572
Dan Burn,Burn,582
Jayson Molumby,Molumby,617
Tom Heaton,Heaton,67
Nick Pope,Pope,68
Matthew Lowton,Lowton,69
Ben Mee,Mee,70
Stephen Ward,Ward,71
James Tarkowski,Tarkowski,72
Kevin Long,Long,73
Charlie Taylor,Taylor,74
Phil Bardsley,Bardsley,75
Johann Berg Gudmundsson,Gudmundsson,76
Steven Defour,Defour,77
Jeff Hendrick,Hendrick,78
Robbie Brady,Brady,79
Ashley Westwood,Westwood,80
Jonathan Walters,Walters,81
Jack Cork,Cork,82
Aaron Lennon,Lennon,83
Sam Vokes,Vokes,84
Ashley Barnes,Barnes,85
Nahki Wells,Wells,86
Chris Wood,Wood,87
Anders Lindegaard,Lindegaard,485
Joe Hart,Hart,490
Ben Gibson,Gibson,491
Matej Vydra,Vydra,495
Dwight McNeil,McNeil,534
Abd-Al-Ali Morakinyo Olaposi Koiki,Koiki,564
Josh Benson,Benson,583
Peter Crouch,Crouch,590
Anthony Driscoll-Glennon,Driscoll-Glennon,615
Harry Arter,Arter,33
Neil Etheridge,Etheridge,88
Alex Smithies,Smithies,89
Sean Morrison,Morrison,90
Sol Bamba,Bamba,91
Bruno Ecuele Manga,Ecuele Manga,92
Matthew Connolly,Connolly,93
Joe Bennett,Bennett,94
Lee Peltier,Peltier,95
Ashley Darel Jazz Richards,Richards,96
Greg Halford,Halford,97
Joe Ralls,Ralls,98
David Junior Hoilett,Hoilett,99
Nathaniel Mendez-Laing,Mendez-Laing,100
Callum Paterson,Paterson,101
Aron Gunnarsson,Gunnarsson,102
Anthony Pilkington,Pilkington,103
Loïc Damour,Damour,104
Danny Ward,Ward,105
Josh Murphy,Murphy,106
Kenneth Zohore,Zohore,107
Omar Bogle,Bogle,108
Gary Madine,Madine,109
Bobby Reid,Reid,110
Oumar Niasse,Niasse,176
Greg Cunninghamm,Cunninghamm,467
Víctor Camarasa,Camarasa,504
Kadeem Harris,Harris,535
Brian Murphy,Murphy,537
Rhys Healey,Healey,573
Leandro Bacuna,Bacuna,589
Thibaut Courtois,Courtois,111
Willy Caballero,Caballero,112
César Azpilicueta,Azpilicueta,113
Gary Cahill,Cahill,114
Marcos Alonso,Alonso,115
David Luiz Moreira Marinho,Luiz Moreira Marinho,116
Victor Moses,Moses,117
