,first_name,second_name,team,player_id
0,Petr,Cech,1,1
1,Bernd,Leno,1,2
2,Laurent,Koscielny,1,3
3,Héctor,Bellerín,1,4
4,Nacho,Monreal,1,5
5,Rob,Holding,1,6
6,Shkodran,Mustafi,1,7
7,Sead,Kolasinac,1,8
8,Konstantinos,Mavropanos,1,10
9,Stephan,Lichtsteiner,1,11
10,Sokratis,Papastathopoulos,1,12
11,Mesut,Özil,1,13
12,Aaron,Ramsey,1,14
13,Alex,Iwobi,1,15
14,Mohamed,Elneny,1,16
15,Granit,Xhaka,1,17
16,Henrikh,Mkhitaryan,1,18
17,Reiss,Nelson,1,19
18,Ainsley,Maitland-Niles,1,20
19,Danny,Welbeck,1,21
20,Alexandre,Lacazette,1,22
21,Pierre-Emerick,Aubameyang,1,23
22,Lucas,Torreira,1,450
23,Matteo,Guendouzi,1,451
24,Emiliano,Martínez,1,542
25,Emile,Smith-Rowe,1,545
26,Zech,Medley,1,546
27,Edward,Nketiah,1,552
28,Bukayo,Saka,1,563
29,Joseph,Willock,1,566
30,Carl,Jenkinson,1,581
31,Denis,Suárez,1,586
32,Asmir,Begovic,2,24
33,Artur,Boruc,2,25
34,Simon,Francis,2,26
35,Steve,Cook,2,27
36,Charlie,Daniels,2,28
37,Adam,Smith,2,29
38,Tyrone,Mings,2,30
39,Nathan,Aké,2,31
40,Jack,Simpson,2,32
41,Marc,Pugh,2,34
42,Andrew,Surman,2,35
43,Junior,Stanislas,2,36
44,Dan,Gosling,2,37
45,Jordon,Ibe,2,38
46,Lewis,Cook,2,39
47,Ryan,Fraser,2,40
48,Emerson,Hyndman,2,41
49,David,Brooks,2,42
50,Callum,Wilson,2,43
51,Lys,Mousset,2,44
52,Joshua,King,2,45
53,Jermain,Defoe,2,46
54,Nathaniel,Clyne,2,241
55,Dominic,Solanke,2,259
56,Diego,Rico,2,473
57,Jefferson,Lerma,2,494
58,Chris,Mepham,2,580
59,Sam,Surridge,2,599
60,Kyle,Taylor,2,600
61,Nnamdi,Ofoborh,2,613
62,Mark,Travers,2,616
