,total_points_prev,current_gw,position_number,assists,big_chances_created,clean_sheets,clearances_blocks_interceptions,dribbles,errors_leading_to_goal,ict_index,key_passes,penalties_missed,penalties_saved,round,total_points,player_id
0,11.0,6,1,0.0,0.0,0.0,1.0,0.0,0.0,1.805,0.0,0.0,0.0,3.9000000000000004,2.0,1
1,1.0,7,1,0.0,0.0,0.4,1.45,0.0,0.0,2.715,0.0,0.0,0.0,4.8999999999999995,5.6000000000000005,1
2,0.0,8,1,0.0,0.0,0.3,1.3,0.0,0.0,2.34,0.0,0.0,0.0,5.9,4.25,1
3,0.0,9,1,0.0,0.0,0.15,0.8,0.0,0.0,1.3049999999999997,0.0,0.0,0.0,6.900000000000001,2.1999999999999997,1
4,0.0,10,1,0.0,0.0,0.1,0.44999999999999996,0.0,0.0,0.755,0.0,0.0,0.0,7.9,1.35,1
5,0.0,11,1,0.0,0.0,0.05,0.2,0.0,0.0,0.385,0.0,0.0,0.0,8.9,0.65,1
6,0.0,12,1,0.0,0.0,0.0,0.05,0.0,0.0,0.085,0.0,0.0,0.0,9.9,0.05,1
7,0.0,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.900000000000002,0.0,1
8,0.0,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,1
9,0.0,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,1
10,0.0,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.899999999999999,0.0,1
11,0.0,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,1
12,0.0,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.900000000000002,0.0,1
13,0.0,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.900000000000002,0.0,1
14,0.0,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.900000000000002,0.0,1
15,0.0,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,1
16,0.0,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.900000000000002,0.0,1
17,0.0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.0,1
18,0.0,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.0,1
19,0.0,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.900000000000002,0.0,1
20,0.0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,0.0,1
21,0.0,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.900000000000002,0.0,1
22,0.0,28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0,1
23,0.0,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,1
24,0.0,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.900000000000002,0.0,1
25,0.0,31,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,0.0,1
26,0.0,32,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.900000000000002,0.0,1
27,0.0,33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,0.0,1
28,0.0,34,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,0.0,1
29,0.0,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.900000000000006,0.0,1
30,0.0,36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,0.0,1
31,0.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9000000000000004,0.0,2
32,2.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8999999999999995,0.0,2
33,3.0,8,1,0.0,0.0,0.0,0.8,0.0,0.0,1.04,0.0,0.0,0.0,5.9,0.8,2
34,2.0,9,1,0.0,0.0,0.0,1.0,0.0,0.0,1.6600000000000001,0.0,0.0,0.0,6.900000000000001,1.8000000000000003,2
35,1.0,10,1,0.0,0.0,0.0,1.0,0.0,0.0,1.6900000000000004,0.0,0.0,0.0,7.9,2.0,2
36,3.0,11,1,0.0,0.0,0.0,2.65,0.0,0.0,1.4300000000000002,0.0,0.0,0.0,8.9,1.65,2
37,4.0,12,1,0.0,0.0,0.0,2.65,0.0,0.4,1.8199999999999998,0.0,0.0,0.0,9.9,2.2000000000000006,2
38,3.0,13,1,0.0,0.0,0.0,1.5000000000000002,0.0,0.3,2.365,0.0,0.0,0.0,10.900000000000002,3.0,2
39,2.0,14,1,0.0,0.0,0.0,0.8500000000000001,0.0,0.15,2.7399999999999998,0.0,0.0,0.0,11.9,3.0500000000000007,2
40,2.0,15,1,0.0,0.0,0.0,0.8500000000000001,0.0,0.5,2.63,0.0,0.0,0.0,12.9,2.6499999999999995,2
41,7.0,16,1,0.0,0.0,0.0,0.7999999999999999,0.0,0.35,2.6,0.0,0.0,0.0,13.899999999999999,2.4,2
42,2.0,17,1,0.0,0.0,0.4,0.85,0.0,0.15,1.81,0.0,0.0,0.0,14.9,4.2,2
43,2.0,18,1,0.0,0.0,0.3,0.95,0.0,0.5,1.7850000000000001,0.0,0.0,0.0,15.900000000000002,3.5500000000000003,2
44,2.0,19,1,0.0,0.0,0.15,1.4000000000000001,0.0,0.35,1.605,0.0,0.0,0.0,16.900000000000002,2.7500000000000004,2
45,1.0,20,1,0.0,0.0,0.1,1.3,0.0,0.15,1.77,0.0,0.0,0.0,17.900000000000002,2.5,2
46,3.0,21,1,0.0,0.0,0.05,1.5500000000000003,0.0,0.1,2.6149999999999998,0.0,0.0,0.0,18.9,1.85,2
47,2.0,22,1,0.0,0.0,0.0,1.0,0.0,0.05,2.8249999999999997,0.0,0.0,0.0,19.900000000000002,2.1000000000000005,2
48,6.0,23,1,0.0,0.0,0.0,0.5,0.0,0.0,2.375,0.0,0.0,0.0,20.9,2.15,2
49,2.0,24,1,0.0,0.0,0.4,0.6500000000000001,0.0,0.0,1.86,0.0,0.0,0.0,21.9,3.6500000000000004,2
50,5.0,25,1,0.0,0.0,0.3,0.7999999999999999,0.0,0.0,1.375,0.0,0.0,0.0,22.900000000000002,3.249999999999999,2
51,3.0,26,1,0.0,0.0,0.15,1.6500000000000001,0.0,0.0,3.555,0.0,0.0,0.0,23.9,3.85,2
52,7.0,27,1,0.0,0.0,0.1,1.15,0.0,0.0,3.765,0.0,0.0,0.0,24.900000000000002,3.7,2
53,3.0,28,1,0.0,0.0,0.45,0.6,0.0,0.0,3.43,0.0,0.0,0.0,25.9,4.95,2
