,total_points_prev,assists,big_chances_created,clean_sheets,clearances_blocks_interceptions,dribbles,errors_leading_to_goal,ict_index,key_passes,penalties_missed,penalties_saved,total_points
0,2,0,0,0,0.4,0,0.4,0.2,0,0,0,0
1,0,0,0,0,1.1,0,0.3,1.11,0,0,0,0.8
2,0,0,0,0,0.75,0,0.15,0.795,0,0,0,0.6
3,0,0,0,0,0.4,0,0.1,0.41,0,0,0,0.3
4,0,0,0,0,0.25,0,0.05,0.265,0,0,0,0.2
5,0,0,0,0,0.1,0,0,0.12,0,0,0,0.1
6,6,0,0,0.1,0.15,0.1,0,1.525,0,0,0,1.95
7,6,0,0,0.45,0.5,0.05,0,1.335,0,0,0,3.55
8,2,0,0,0.7,0.35,0,0,1.27,0,0,0,4.65
9,7,0,0,0.45,0.15,0.4,0,2.11,0,0,0,3.65
10,1,0,0,0.65,0.1,0.3,0,2.75,0,0,0,4.95
11,2,0,0,0.45,0.05,0.15,0,1.735,0,0,0,3.7
12,3,0,0,0.2,0,0.1,0,1.605,0,0,0,2.65
13,2,0,0,0.1,0.4,0.05,0,1.99,0,0,0,2.75
14,2,0,0,0.05,0.3,0,0,1.865,0,0,0,2.45
15,3,0,0,0,0.15,0,0,1.75,0,0,0,2.1
16,1,0,0,0,0.9,0,0,2.065,0,0,0,2.5
17,2,0,0,0,0.65,0,0,1.995,0,0,0,1.95
18,6,0,0,0,0.3,0,0,2.08,0,0,0,1.85
19,7,0,0,0.4,0.6,0,0,1.565,0,0,0,3.55
20,2,0,0,0.7,1.2,0,0,1.895,0,0,0,5.15
21,7,0,0,0.45,1.15,0,0,1.925,0,0,0,4.05
22,4,0,0,0.65,1.1,0,0,1.875,0,0,0,5.15
23,2,0,0,0.45,1.1,0,0,2.735,0,0,0,5
24,2,0,0,0.2,0.65,0,0,2.995,0,0,0,3.6
25,7,0,0,0.1,0.3,0.4,0.4,2.54,0,0,0,2.8
26,2,0,0,0.45,0.15,0.3,0.3,2.835,0,0,0,4.45
27,2,0,0,0.3,0.05,0.15,0.15,2.975,0,0,0,3.6
28,0,0,0,0.15,0,0.1,0.1,2.655,0,0,0,2.75
29,0,0,0,0.1,0,0.05,0.05,1.565,0,0,0,1.7
30,0,0,0,0.05,0,0,0,0.81,0,0,0,0.85
31,3,0,0,0,0,0,0,0.38,0,0,0,0.3
32,7,0,0,0,0.4,0,0,1.435,0,0,0,1.3
33,4,0,0,0.4,0.3,0,0,1.99,0,0,0,3.7
34,8,0,0,0.3,0.15,0,0,3.405,0,0,0,4.15
35,8,0,0,0.55,0.5,0,0,3.525,0,0,0,5.75
36,3,0,0,0.8,0.35,0,0,2.965,0,0,0,7.05
37,6,0,0,0.5,0.55,0,0,2.625,0,0,0,5.55
38,6,0,0,0.1,7,0,0,3.475,0,0,0,4.8
39,15,0,0,0.45,9.6,0,0,3.26,0,0,0,5.05
40,1,0,0,0.7,8.35,0.4,0,5.875,0,0,0,9.2
41,8,0,0,0.45,8.5,0.3,0,4.77,0,0,0,6.5
42,2,0,0,0.65,9.45,0.55,0,4.325,0,0,0,6.45
43,1,0,0,0.45,10.95,0.4,0,4.105,0,0,0,5.15
44,2,0,0,0.2,10.7,0.2,0,3.87,0,0,0,3.05
45,2,0,0,0.1,9.65,0.1,0,3.03,0,0,0,2.25
46,1,0,0,0.05,10.9,0.05,0,2.945,0,0,0,2.15
47,2,0,0,0,9.15,0,0,2.595,0,0,0,1.5
48,0,0,0,0,6.65,0,0,2.28,0,0,0,1.65
49,1,0,0,0,9.8,0,0,2.92,0,0,0,1.05
50,9,0,0,0,11.15,0,0,2.82,0,0,0,0.9
51,6,0,0,0.4,10.95,0,0,2.945,0,0,0,4.15
52,1,0,0,0.7,10,0,0,2.73,0,0,0,5.35
53,9,0,0,0.45,8,0,0,2.035,0,0,0,3.65
54,8,0,0,0.65,10,0,0,2.63,0,0,0,5.75
55,1,0.4,0,0.45,12.3,0,0,6.93,0.4,0,0,7.1
56,1,0.3,0,0.2,8.7,0.4,0,6.04,0.7,0,0,4.55
57,8,0.15,0,0.1,8.4,0.3,0,4.19,0.45,0,0,2.85
58,1,0.1,0,0.45,9.75,0.15,0,3.635,0.25,0,0,4.9
59,1,0.05,0,0.3,10.1,0.1,0,3.465,0.15,0,0,3.45
60,0,0,0,0.15,9.2,0.05,0,2.925,0.05,0,0,2.05
61,0,0,0,0.1,7.6,0,0,2.285,0,0,0,1.3
62,0,0,0,0.05,4.35,0,0,1.32,0,0,0,0.65
63,2,0,0,0,2.1,0,0,0.665,0,0,0,0.15
64,6,0,0,0,5.3,0,0,1.24,0,0,0,0.85
65,1,0,0,0.4,6.35,0,0,2.71,0,0,0,3
66,5,0,0,0.3,7.75,0,0,2.88,0,0,0,2.5
67,0,0,0,0.55,9.15,0,0,3.37,0.4,0,0,3.4
68,2,0,0,0.4,5.75,0,0,2.205,0.3,0,0,2.35
69,0,0,0,0.2,6.05,0,0,2.03,0.15,0,0,1.95
70,1,0,0,0,0,0,0,0,0,0,0,0
71,2,0,0,0,1.6,0.4,0,0.56,0,0,0,0.4
72,2,0,0,0,3.2,0.3,0,1.3,0,0,0,1.1
73,1,0,0,0,4.1,0.15,0,1.71,0,0,0,1.55
74,0,0,0,0,7.05,0.1,0,2.38,0,0,0,1.4
75,6,0,0,0,7.15,0.45,0,2.165,0,0,0,0.85
76,6,0,0,0.4,6.2,0.3,0,1.89,0,0,0,2.85
